# name, YYYY-MM-DD, TH/s, W/GH, USD
device, release_date, hashrate, power_usage, price
CPU, 2008-11-01, 0.0000192, 4166.67, 305.0
GPU, 2010-07-18, 0.00006831, 2341.92, 229.0
FPGA, 2011-06-01, 0.000832, 96.1538, 599.0
S1, 2013-09-21, 0.18, 2.0, 299.0
S2, 2014-04-01, 1.0, 1.1, 2259.0
S3, 2014-07-10, 0.4, 0.77, 382.0
#S3+, 2014-07-19, 0.78, 0.78, 382.0
S4, 2014-10-16, 2.0, 0.7, 1400.0
S5, 2014-12-27, 1.155, 0.51, 370.0
S5+, 2015-08-14, 7.722, 0.44, 2307.0
S7, 2015-09-30, 4.73, 0.25, 479.95
S9, 2016-06-12, 13.5, 0.098, 1987.95
S11, 2018-11-01, 20.5, 0.075, 1173.38

